race,classtype,yearssmall,hsgrad,g4math,g4reading
Black,small,4,NA,672,659
White,regular,0,NA,NA,NA
White,small,4,NA,668,657
White,small,4,1,709,725
White,regular,0,1,698,692
Black,regular,0,1,NA,NA
White,small,1,NA,NA,NA
White,regular,2,NA,NA,NA
White,regular,1,NA,NA,NA
Black,small,4,NA,NA,NA
White,small,1,NA,NA,NA
Black,regular,0,1,NA,NA
White,small,2,NA,NA,NA
White,small,4,1,740,836
White,regular,0,1,NA,NA
White,regular,0,NA,NA,NA
White,regular,0,NA,758,836
Black,regular,0,1,NA,NA
White,small,4,NA,685,785
White,small,4,1,771,725
Black,small,1,1,NA,NA
Black,small,1,NA,NA,NA
Black,small,2,0,NA,NA
Black,small,3,1,NA,NA
White,small,4,1,709,761
Black,small,3,NA,NA,NA
Black,small,2,0,NA,NA
Black,regular,0,NA,NA,NA
Black,small,1,0,NA,NA
White,small,3,NA,NA,NA
White,small,1,1,NA,NA
White,small,4,NA,679,678
White,regular,0,NA,NA,NA
Black,small,1,1,NA,NA
Black,small,1,NA,NA,NA
White,regular,0,NA,NA,NA
White,regular,0,NA,NA,NA
White,regular,1,1,NA,NA
White,regular,0,1,698,778
White,regular,0,NA,NA,NA
White,regular,0,NA,NA,NA
Black,regular,0,0,NA,NA
Black,small,1,NA,NA,NA
Black,regular,0,NA,NA,NA
White,small,2,NA,NA,NA
White,regular,0,NA,NA,NA
White,regular,0,NA,NA,NA
White,regular,0,NA,NA,NA
White,regular,0,NA,NA,NA
White,regular,1,NA,NA,NA
White,regular,0,NA,NA,NA
White,regular,0,0,NA,NA
Black,regular,0,0,NA,NA
White,regular,0,NA,NA,NA
Black,small,1,NA,NA,NA
White,regular,0,NA,NA,NA
Black,regular,0,NA,NA,NA
White,regular,0,0,744,735
White,regular,0,NA,NA,NA
White,regular,0,1,NA,NA
Black,small,1,NA,NA,NA
White,small,2,1,NA,NA
White,regular,0,NA,NA,NA
Black,regular,0,NA,NA,NA
Black,regular,0,NA,690,570
White,small,1,NA,NA,NA
Black,regular,0,NA,NA,NA
White,regular,0,1,727,750
Black,small,3,NA,NA,NA
White,regular,0,0,487,616
White,regular,1,0,674,675
Black,small,1,NA,NA,NA
White,regular,0,NA,NA,NA
Black,regular,0,0,666,644
White,regular,0,NA,NA,NA
Black,regular,0,1,NA,NA
White,regular,0,1,664,528
Black,small,3,NA,NA,NA
Black,regular,0,NA,NA,NA
White,regular,3,NA,736,782
Black,regular,0,NA,NA,NA
White,regular,0,NA,NA,NA
Black,small,1,0,NA,NA
White,regular,0,1,702,771
White,small,4,1,744,772
White,regular,0,1,NA,NA
White,small,1,NA,NA,NA
Black,regular,0,1,654,647
Black,regular,0,NA,NA,NA
White,regular,0,NA,NA,NA
White,small,1,NA,NA,NA
White,small,4,NA,NA,NA
White,small,3,0,NA,NA
White,small,1,NA,NA,NA
White,small,4,1,680,528
White,small,4,0,666,675
White,regular,0,NA,NA,NA
Black,small,1,NA,NA,NA
Black,regular,0,NA,NA,NA
Black,regular,0,NA,NA,NA
Black,small,4,0,NA,NA
Black,regular,0,1,NA,NA
White,small,4,NA,NA,NA
Black,regular,0,NA,NA,NA
White,small,2,NA,NA,NA
White,regular,0,NA,NA,NA
White,regular,2,NA,NA,NA
White,regular,0,NA,NA,NA
White,small,2,NA,NA,NA
White,small,2,1,NA,NA
Black,small,1,1,NA,NA
Black,regular,0,NA,NA,NA
Black,regular,0,NA,618,659
White,small,1,NA,NA,NA
White,small,4,1,678,650
Black,regular,0,NA,NA,NA
White,regular,0,1,NA,NA
White,small,1,NA,NA,NA
Black,small,1,NA,NA,NA
Black,regular,1,1,NA,NA
Black,small,3,1,706,684
Black,regular,0,NA,NA,NA
Black,small,2,NA,NA,NA
White,regular,0,1,NA,NA
Black,small,4,NA,NA,NA
Black,small,4,NA,NA,NA
Black,small,2,1,NA,NA
Black,small,2,NA,705,689
Black,regular,0,0,NA,NA
Black,small,4,0,680,723
Black,small,1,1,NA,NA
Black,regular,0,NA,NA,NA
Black,regular,0,1,NA,NA
Black,small,4,0,NA,NA
Black,regular,0,NA,NA,NA
White,regular,0,0,NA,NA
Black,small,2,0,NA,NA
Black,regular,0,1,758,729
Black,regular,0,NA,NA,NA
Black,small,3,1,NA,NA
Black,small,1,NA,NA,NA
Black,regular,1,NA,NA,NA
Black,small,3,NA,689,768
Black,regular,0,NA,NA,NA
Black,small,4,NA,NA,NA
Black,regular,1,0,NA,NA
Black,small,2,1,719,721
Black,regular,0,1,NA,NA
Black,small,4,NA,NA,NA
Black,small,4,NA,694,671
Black,regular,0,1,NA,NA
Black,regular,0,NA,NA,NA
Black,small,1,0,NA,NA
White,regular,0,0,NA,NA
White,regular,0,NA,NA,NA
Black,regular,0,1,727,715
Black,regular,0,NA,NA,NA
White,small,2,NA,NA,NA
Black,small,1,NA,NA,NA
Black,regular,0,NA,NA,NA
Black,regular,0,NA,NA,NA
White,small,4,NA,NA,NA
Black,small,4,0,NA,NA
Black,regular,0,NA,NA,NA
Black,small,1,0,NA,NA
Black,small,1,NA,NA,NA
Black,regular,0,1,NA,NA
White,small,1,1,NA,NA
Black,regular,0,1,NA,NA
Black,small,1,NA,NA,NA
Black,regular,0,NA,NA,NA
Black,regular,0,NA,NA,NA
Black,regular,0,0,NA,NA
Black,small,4,1,NA,NA
Black,regular,0,NA,NA,NA
White,regular,0,NA,NA,NA
Black,regular,2,1,744,724
White,small,1,1,NA,NA
Black,small,4,NA,NA,NA
Black,small,4,NA,NA,NA
Black,small,3,NA,NA,NA
White,regular,0,1,676,721
White,regular,0,1,NA,NA
Black,regular,0,NA,NA,NA
Black,small,1,1,NA,NA
White,regular,2,1,662,528
Black,regular,0,1,740,701
Black,small,1,1,NA,NA
Black,small,4,NA,670,724
Black,regular,0,1,NA,NA
Black,regular,0,1,NA,NA
White,small,4,NA,636,710
Black,small,2,NA,NA,NA
White,small,2,NA,NA,NA
Black,small,1,1,NA,NA
White,small,4,1,653,548
White,small,2,NA,NA,NA
White,regular,0,NA,666,591
White,regular,0,NA,646,695
Black,regular,0,NA,NA,NA
White,small,1,NA,NA,NA
White,regular,0,NA,712,682
White,regular,2,NA,NA,NA
White,regular,0,1,533,650
Black,small,4,1,654,605
White,small,2,1,NA,NA
White,small,1,NA,NA,NA
White,regular,0,1,702,741
White,small,2,NA,NA,NA
White,small,1,NA,NA,NA
White,regular,0,NA,NA,NA
White,regular,0,NA,NA,NA
Black,regular,0,1,713,712
White,regular,0,NA,NA,NA
White,small,4,1,647,701
White,small,4,1,740,763
Black,regular,0,NA,NA,NA
White,regular,0,0,NA,NA
White,regular,0,NA,684,664
White,small,2,NA,NA,NA
White,regular,0,0,NA,NA
White,small,1,1,758,794
White,regular,0,NA,NA,NA
White,small,4,1,724,713
White,small,4,1,531,528
White,small,1,NA,NA,NA
White,regular,0,1,NA,NA
White,small,4,1,705,726
White,small,4,NA,NA,NA
White,small,4,1,643,528
White,small,2,NA,NA,NA
White,regular,0,1,NA,NA
White,regular,0,NA,NA,NA
White,small,1,NA,NA,NA
White,small,4,NA,NA,NA
White,regular,0,NA,NA,NA
Black,regular,0,1,NA,NA
White,regular,0,NA,NA,NA
White,small,2,0,NA,NA
White,regular,0,NA,744,679
Black,regular,0,NA,NA,NA
White,small,2,NA,NA,NA
White,regular,0,1,NA,NA
White,small,1,0,NA,NA
Black,small,1,NA,NA,NA
White,small,3,NA,NA,NA
White,small,4,1,662,697
White,small,4,1,686,705
Black,regular,0,0,NA,NA
White,regular,0,1,821,784
White,regular,0,1,683,733
Black,regular,0,NA,NA,NA
White,regular,0,1,NA,NA
Black,small,1,NA,NA,NA
White,small,4,NA,NA,NA
White,regular,0,1,821,767
White,regular,0,NA,NA,NA
White,regular,0,NA,NA,NA
White,small,4,1,729,763
Black,small,2,NA,NA,NA
White,small,4,1,741,740
White,regular,0,0,NA,NA
White,regular,0,1,758,726
White,small,4,0,640,620
White,small,1,NA,NA,NA
White,small,1,NA,NA,NA
Black,small,4,NA,678,528
White,regular,0,NA,689,648
White,small,3,NA,NA,NA
White,regular,0,NA,NA,NA
Black,regular,0,NA,NA,NA
White,regular,2,0,708,712
White,small,4,1,744,836
White,regular,0,NA,NA,NA
White,small,4,1,697,764
White,small,1,NA,NA,NA
Black,regular,0,NA,NA,NA
White,small,4,1,729,733
White,small,4,1,742,761
White,regular,0,NA,NA,NA
White,small,4,NA,NA,NA
White,regular,0,NA,NA,NA
White,small,2,NA,699,729
White,regular,0,1,NA,NA
White,small,2,0,NA,NA
White,small,2,NA,NA,NA
White,small,4,NA,722,755
White,regular,0,1,716,760
White,small,3,NA,NA,NA
White,small,2,1,NA,NA
White,regular,0,NA,550,666
White,small,1,NA,NA,NA
White,small,4,NA,707,747
White,small,4,NA,NA,580
White,regular,0,1,758,736
White,small,4,1,701,695
White,small,1,NA,NA,NA
White,regular,0,NA,654,634
White,small,4,1,739,737
White,small,2,NA,NA,NA
Black,regular,0,NA,669,674
White,small,4,1,821,756
White,small,4,1,713,781
White,regular,0,NA,702,794
White,regular,0,NA,NA,NA
White,small,1,NA,NA,NA
White,small,4,NA,NA,NA
White,regular,0,NA,729,836
White,small,1,1,728,727
White,regular,0,NA,NA,NA
White,regular,0,NA,NA,NA
Black,small,1,NA,NA,NA
White,small,4,1,747,836
White,regular,0,NA,633,673
White,regular,0,1,689,671
White,regular,0,NA,NA,NA
White,regular,0,1,744,836
White,small,2,NA,NA,NA
White,regular,0,1,NA,NA
White,regular,2,1,693,703
White,regular,0,NA,NA,NA
White,small,4,NA,NA,NA
White,regular,0,1,NA,NA
White,regular,1,1,NA,NA
White,regular,0,1,692,778
White,regular,0,1,NA,NA
White,small,4,1,738,NA
White,regular,1,1,NA,NA
White,small,4,1,750,763
White,small,2,1,NA,NA
White,small,3,NA,NA,NA
White,small,4,NA,723,749
White,small,4,1,707,715
White,small,4,1,767,750
White,regular,0,NA,NA,NA
White,regular,2,1,740,741
Black,small,4,NA,687,682
White,regular,0,NA,693,743
White,regular,0,1,NA,NA
White,small,4,1,702,741
White,regular,0,0,695,696
White,small,1,NA,NA,NA
White,regular,0,1,712,740
White,small,4,0,717,741
White,small,4,1,821,796
White,regular,0,NA,NA,NA
White,regular,0,NA,NA,NA
White,small,4,NA,660,606
White,regular,0,1,758,745
White,small,4,0,665,620
White,small,2,0,NA,NA
White,regular,0,1,740,741
White,regular,0,NA,NA,NA
White,small,2,1,NA,NA
White,regular,0,1,NA,NA
White,regular,0,1,674,704
White,small,1,1,NA,NA
White,small,1,1,739,836
White,regular,0,0,741,753
White,small,2,NA,NA,NA
White,small,1,1,NA,NA
White,small,2,1,NA,NA
White,small,1,1,NA,NA
White,regular,0,NA,NA,NA
Black,small,1,NA,NA,NA
White,small,4,0,713,707
White,regular,0,1,NA,NA
White,small,3,NA,NA,NA
White,regular,0,NA,684,794
White,regular,0,1,690,728
White,regular,0,NA,NA,NA
White,small,4,NA,740,644
Black,regular,0,1,741,722
Black,small,1,NA,NA,NA
White,regular,0,1,741,722
White,small,1,1,NA,NA
White,regular,0,1,704,699
White,small,4,1,715,762
White,regular,0,NA,702,716
White,small,4,NA,654,727
White,small,1,NA,NA,NA
White,small,1,NA,NA,NA
White,small,1,1,NA,NA
White,small,4,0,535,705
White,small,1,0,695,741
White,regular,0,0,675,721
White,regular,3,1,758,769
White,small,2,NA,NA,NA
White,regular,0,NA,NA,NA
White,small,4,1,686,742
White,small,4,1,758,778
White,small,1,NA,NA,NA
White,small,4,NA,758,747
White,regular,0,NA,NA,NA
White,small,4,1,740,785
White,regular,3,1,705,724
White,regular,0,NA,NA,NA
White,regular,3,NA,741,784
Black,small,4,1,NA,NA
White,small,4,1,769,761
White,small,4,NA,670,676
White,small,4,NA,714,836
White,small,4,1,758,721
White,regular,0,NA,NA,NA
White,regular,0,NA,699,709
White,regular,0,1,739,782
White,small,4,NA,NA,NA
White,small,1,0,NA,NA
White,regular,2,0,NA,NA
White,regular,0,1,738,742
White,regular,0,NA,NA,NA
White,small,3,NA,NA,NA
White,regular,0,1,NA,NA
White,small,1,NA,NA,NA
White,small,2,1,NA,NA
White,regular,0,1,712,778
White,small,4,1,714,744
White,small,4,1,728,784
White,regular,0,NA,758,734
White,small,4,NA,821,710
White,regular,0,1,NA,NA
White,regular,0,1,758,767
White,small,4,NA,775,728
White,small,3,NA,NA,NA
White,small,4,1,741,784
White,small,4,NA,688,758
White,regular,0,NA,645,744
White,regular,0,NA,603,669
White,small,1,1,NA,NA
White,regular,0,NA,NA,NA
White,regular,0,0,NA,NA
White,regular,0,NA,691,632
White,regular,3,NA,638,528
White,regular,0,1,724,667
White,regular,0,1,686,698
White,regular,0,NA,678,716
White,small,4,1,744,836
White,regular,0,1,758,763
White,small,3,1,NA,NA
Black,small,4,NA,666,674
White,regular,0,1,773,741
Black,small,1,NA,726,722
White,regular,0,0,NA,NA
White,regular,0,1,710,736
White,regular,0,1,NA,NA
White,regular,2,NA,683,715
White,small,3,1,696,757
White,small,4,1,740,778
White,regular,0,1,NA,NA
White,small,3,NA,NA,NA
White,small,1,1,NA,NA
Black,small,1,NA,NA,NA
White,regular,0,NA,NA,NA
White,small,4,0,771,688
White,small,1,1,NA,NA
White,small,4,0,664,742
White,regular,0,NA,NA,NA
White,regular,0,NA,NA,NA
White,small,1,0,NA,NA
White,regular,0,1,694,763
White,small,4,1,681,704
Black,small,4,NA,659,621
White,small,4,1,744,794
White,regular,0,NA,821,763
White,regular,0,1,NA,NA
White,regular,0,NA,NA,NA
Black,regular,0,1,730,736
White,regular,0,1,NA,NA
White,regular,0,NA,NA,NA
Black,regular,0,NA,741,647
White,small,4,NA,758,742
White,small,4,NA,692,759
White,small,4,1,655,709
White,regular,0,1,767,760
White,small,4,1,741,735
White,small,4,1,701,740
White,small,4,1,740,741
White,small,4,1,735,761
Black,regular,0,1,678,681
White,small,2,NA,NA,NA
White,regular,0,1,758,760
White,regular,0,1,684,622
White,regular,0,1,767,765
White,regular,0,NA,704,692
White,regular,1,1,722,756
White,small,1,NA,NA,NA
White,small,1,NA,NA,NA
White,small,4,NA,541,743
White,regular,0,1,743,836
White,regular,1,1,758,778
White,regular,0,1,603,689
White,regular,0,NA,709,720
White,regular,3,1,749,680
White,regular,0,NA,NA,NA
Black,regular,0,1,NA,NA
White,small,4,1,758,836
White,regular,0,1,715,676
Black,regular,0,NA,NA,NA
White,small,4,NA,666,692
Black,small,2,1,NA,NA
White,small,3,1,699,719
White,regular,0,1,711,695
White,regular,0,0,702,715
White,regular,3,1,821,765
White,regular,0,1,710,728
White,small,4,1,728,836
Black,small,1,0,NA,NA
Black,regular,0,NA,NA,NA
Black,regular,0,0,NA,NA
Black,regular,0,NA,NA,NA
Black,regular,0,NA,NA,NA
Black,small,3,NA,NA,NA
Black,regular,0,NA,NA,NA
Black,regular,0,NA,NA,NA
Black,regular,0,0,NA,NA
Black,regular,1,0,NA,NA
White,regular,0,NA,712,771
White,small,4,1,706,710
White,small,1,NA,NA,NA
White,regular,0,1,741,784
White,regular,0,NA,743,748
White,regular,0,1,662,714
White,regular,0,1,715,765
White,regular,0,NA,NA,NA
White,small,4,NA,704,724
White,small,2,0,NA,NA
White,small,1,1,NA,NA
White,regular,0,1,697,604
White,small,3,0,NA,NA
White,regular,0,1,658,688
White,regular,0,NA,NA,NA
White,small,1,NA,NA,NA
White,regular,0,1,NA,NA
White,small,4,NA,723,732
White,small,3,1,NA,NA
White,regular,0,1,NA,NA
White,regular,0,NA,724,734
White,small,1,NA,NA,NA
White,regular,0,NA,705,717
White,small,4,1,690,730
White,regular,0,NA,732,750
White,small,4,1,698,782
White,regular,0,NA,NA,NA
White,small,4,NA,711,751
White,small,3,1,NA,NA
White,regular,0,1,NA,NA
White,small,2,1,NA,NA
White,small,4,NA,716,722
White,regular,0,1,NA,NA
White,regular,0,NA,661,629
White,small,1,NA,NA,NA
White,regular,3,1,726,757
White,small,4,0,684,731
White,small,4,1,662,632
White,small,4,NA,677,723
White,regular,0,1,NA,NA
White,regular,2,1,771,739
White,regular,0,1,664,700
White,regular,0,NA,NA,NA
Black,regular,0,0,NA,NA
White,regular,0,1,821,705
White,small,1,0,NA,NA
Black,small,1,NA,NA,NA
Black,regular,0,NA,NA,NA
White,regular,0,1,NA,NA
White,small,3,NA,652,626
White,small,4,1,747,736
White,regular,0,0,700,NA
White,regular,3,1,726,NA
White,small,4,1,741,NA
White,regular,0,NA,670,712
White,regular,0,1,NA,NA
White,small,4,1,690,711
White,regular,3,NA,729,760
White,small,4,NA,719,750
White,small,4,1,703,701
White,small,4,0,699,697
White,regular,0,1,648,677
White,regular,0,1,717,836
White,small,3,NA,NA,NA
White,regular,3,NA,NA,NA
White,regular,0,NA,643,646
White,small,1,NA,NA,NA
White,regular,0,NA,NA,NA
White,regular,0,1,NA,NA
White,regular,0,1,NA,NA
White,regular,0,1,728,760
White,regular,0,1,690,695
White,small,4,1,724,737
White,regular,1,0,NA,NA
White,small,4,1,758,714
White,small,4,1,686,745
White,regular,0,1,716,763
White,regular,0,1,NA,NA
White,regular,0,NA,NA,NA
White,regular,0,0,681,728
White,small,2,1,NA,NA
White,regular,0,1,704,668
White,small,4,1,783,836
White,regular,0,NA,NA,NA
White,small,4,1,699,724
White,small,4,1,636,697
White,small,4,NA,696,794
White,small,1,NA,NA,NA
White,regular,0,0,531,641
White,regular,0,1,696,688
White,small,4,1,738,685
White,small,1,NA,NA,NA
White,small,4,NA,704,763
White,regular,0,1,696,734
White,regular,0,NA,NA,NA
White,small,1,NA,NA,NA
White,small,4,1,789,750
White,small,4,NA,704,725
White,regular,0,NA,NA,NA
White,small,4,1,779,782
White,regular,0,1,637,691
White,regular,0,1,739,771
White,small,4,NA,648,528
White,regular,0,0,NA,NA
White,small,4,1,689,705
White,regular,0,1,701,652
Black,small,1,NA,NA,NA
White,small,1,NA,NA,NA
White,regular,3,1,691,763
White,regular,0,0,NA,NA
White,small,1,NA,NA,NA
Black,regular,0,NA,NA,NA
White,small,4,1,679,660
White,regular,0,NA,736,691
White,regular,0,1,NA,NA
White,regular,0,1,695,738
White,regular,3,0,707,760
Black,regular,0,NA,NA,NA
White,small,2,1,NA,NA
Black,regular,0,1,707,721
White,small,4,NA,715,715
White,regular,0,1,NA,NA
White,regular,0,1,NA,NA
White,regular,0,1,727,689
White,regular,0,NA,767,750
White,regular,0,1,711,751
White,regular,0,1,741,724
White,small,4,NA,NA,NA
White,small,4,1,741,836
White,regular,0,NA,NA,NA
White,small,4,0,672,690
White,regular,0,NA,758,741
White,small,4,NA,NA,NA
White,small,2,NA,NA,NA
White,small,4,1,708,730
White,regular,0,NA,704,735
White,regular,0,1,721,743
White,small,4,1,744,709
White,regular,0,NA,NA,NA
White,regular,0,1,709,699
White,regular,0,1,NA,NA
White,regular,0,1,702,722
White,small,4,1,758,750
White,regular,0,NA,758,676
Black,regular,0,1,692,740
Black,small,2,NA,NA,NA
White,small,4,1,752,778
White,small,4,1,821,836
White,small,2,NA,NA,NA
White,regular,2,1,696,686
White,regular,0,NA,758,717
White,regular,0,NA,NA,NA
White,small,4,NA,645,701
White,regular,0,NA,769,707
White,regular,0,NA,NA,NA
Black,small,1,NA,NA,NA
Black,small,4,0,711,750
Black,small,1,1,NA,NA
Black,regular,0,0,NA,NA
White,regular,0,NA,NA,NA
Black,regular,0,NA,691,686
White,small,4,NA,682,673
Black,regular,0,1,736,678
Black,small,2,1,NA,NA
Black,small,2,0,NA,NA
Black,regular,0,1,NA,NA
Black,small,2,1,731,737
Black,small,4,NA,NA,NA
Black,regular,0,NA,NA,NA
Black,small,3,1,NA,NA
White,regular,0,NA,NA,NA
Black,regular,0,NA,NA,NA
Black,small,4,1,NA,NA
Black,small,4,NA,NA,NA
Black,small,1,NA,NA,NA
Black,small,4,NA,NA,NA
Black,regular,0,NA,NA,NA
Black,regular,0,NA,NA,NA
Black,small,3,NA,NA,NA
White,regular,0,NA,NA,NA
White,small,4,0,689,738
White,regular,1,1,681,760
White,regular,0,1,779,763
White,small,4,1,714,660
White,small,4,NA,NA,NA
White,small,4,NA,694,749
Black,regular,0,1,NA,NA
White,regular,0,NA,702,687
White,regular,0,NA,NA,NA
White,regular,0,1,703,657
White,regular,0,0,NA,NA
White,small,1,1,NA,NA
White,regular,1,NA,NA,NA
White,small,4,NA,685,669
White,small,4,1,728,714
White,regular,0,NA,NA,NA
White,regular,0,NA,NA,NA
White,regular,0,1,686,710
White,regular,0,1,715,693
White,regular,0,NA,731,781
White,small,1,1,NA,NA
White,small,4,NA,NA,NA
White,small,4,1,744,770
White,regular,0,NA,NA,NA
Black,small,1,NA,NA,NA
White,small,2,NA,NA,NA
White,regular,0,1,744,750
White,regular,0,NA,NA,NA
White,small,4,1,652,650
White,regular,0,1,699,712
White,regular,0,NA,821,836
White,regular,0,1,NA,NA
White,regular,1,NA,615,637
White,regular,0,1,711,748
White,regular,0,1,732,749
White,small,4,NA,NA,NA
White,regular,0,NA,703,745
White,small,4,NA,726,738
White,small,1,NA,NA,734
White,small,4,1,741,735
White,regular,0,1,728,731
White,small,4,1,728,731
White,small,3,NA,NA,NA
White,small,4,1,708,760
White,small,3,1,724,725
White,regular,0,NA,674,740
Black,regular,0,NA,NA,NA
White,small,4,1,692,690
White,regular,0,1,691,712
White,small,4,1,744,684
Black,small,4,1,741,733
White,small,2,NA,NA,NA
White,regular,3,1,685,705
White,regular,0,NA,NA,NA
Black,small,1,NA,NA,NA
White,regular,3,1,725,836
White,regular,0,1,NA,NA
Black,regular,0,NA,NA,NA
Black,small,2,NA,NA,NA
Black,regular,0,NA,NA,NA
White,regular,0,NA,NA,NA
Black,small,1,NA,NA,NA
White,regular,0,1,729,715
Black,small,2,1,NA,NA
White,small,3,1,744,739
Black,small,4,0,NA,NA
Black,small,4,0,NA,NA
White,small,2,1,NA,NA
Black,regular,0,NA,NA,NA
Black,regular,2,NA,NA,NA
Black,regular,0,NA,NA,NA
Black,regular,3,1,712,778
Black,regular,0,1,NA,NA
White,small,4,NA,NA,NA
Black,regular,0,1,NA,NA
White,small,3,NA,NA,NA
Black,regular,0,NA,633,666
White,small,4,NA,NA,NA
White,small,4,1,738,736
White,regular,0,1,NA,NA
White,small,4,NA,639,700
White,regular,0,NA,NA,NA
Black,regular,0,1,NA,NA
Black,small,4,NA,NA,NA
White,small,1,NA,NA,NA
White,small,3,1,NA,NA
Black,regular,3,1,769,736
White,small,4,NA,693,623
White,small,4,1,752,691
White,small,4,NA,NA,NA
White,regular,0,0,NA,NA
Black,regular,0,NA,NA,NA
White,regular,2,NA,706,745
White,regular,0,NA,632,528
White,regular,1,0,NA,NA
White,small,4,1,653,683
Black,regular,0,NA,NA,NA
Black,small,2,NA,NA,NA
Black,regular,0,1,NA,NA
Black,small,4,0,707,721
Black,small,4,NA,732,733
White,regular,0,1,732,700
Black,small,4,NA,NA,NA
Black,small,2,NA,NA,NA
Black,regular,0,NA,NA,NA
Black,regular,0,NA,NA,NA
White,small,1,NA,NA,NA
Black,small,4,NA,NA,NA
White,small,3,1,736,782
White,regular,0,NA,725,744
Black,small,3,NA,NA,NA
Black,regular,2,0,658,698
Black,small,4,NA,729,741
White,regular,0,0,NA,NA
